session_id,user_id,scenario_id,difficulty_level,user_response,response_time_sec,choice_made,clarity_score,coping_score,avoidance_score,overall_score,feedback_text,source
S0001,U0115,SCN_002,easy,deep breath,9,cope,3,5,2,3.7,Try naming your feeling and one small next step.,synthetic_demo
S0002,U0112,SCN_010,easy,পারব না,35,cope,2,1,3,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0003,U0230,SCN_009,hard,সাহায্য চাই,20,cope,3,5,2,3.7,Try naming your feeling and one small next step.,synthetic_demo
S0004,U0111,SCN_003,medium,পারব না,9,cope,3,2,4,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0005,U0414,SCN_007,easy,talk to friend,32,cope,4,2,4,1.3,Try naming your feeling and one small next step.,synthetic_demo
S0006,U0296,SCN_007,easy,break into steps,7,cope,4,5,2,4.0,Try naming your feeling and one small next step.,synthetic_demo
S0007,U0195,SCN_004,medium,run away,32,help_seek,2,1,3,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0008,U0360,SCN_003,hard,give up,44,cope,4,2,3,1.7,Try naming your feeling and one small next step.,synthetic_demo
S0009,U0237,SCN_010,medium,গভীর শ্বাস,20,avoid,3,5,1,4.0,Try naming your feeling and one small next step.,synthetic_demo
S0010,U0206,SCN_006,medium,ask for help,7,avoid,4,3,1,3.0,Try naming your feeling and one small next step.,synthetic_demo
S0011,U0203,SCN_010,hard,can't do,32,avoid,5,1,5,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0012,U0383,SCN_005,hard,grounding,30,engage,4,1,5,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0013,U0387,SCN_006,easy,একটা কাজ করি,10,avoid,2,3,2,2.0,Try naming your feeling and one small next step.,synthetic_demo
S0014,U0196,SCN_003,hard,পারব না,32,help_seek,5,3,3,2.7,Try naming your feeling and one small next step.,synthetic_demo
S0015,U0394,SCN_009,hard,deep breath,24,cope,4,5,1,4.3,Try naming your feeling and one small next step.,synthetic_demo
S0016,U0489,SCN_005,hard,পারব না,19,avoid,2,1,4,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0017,U0079,SCN_009,medium,talk to friend,13,cope,3,3,4,1.7,Try naming your feeling and one small next step.,synthetic_demo
