scenario_id,title_bn,title_en,category,difficulty,intake_tags,setting_description_bn,setting_description_en,opening_scene_bn,opening_scene_en,npc_roles,duration_minutes
SCN_001,পরীক্ষার হলে প্যানিক,Exam Hall Panic,exam,medium,"academic_stress,exam_panic,anxiety","বড় পরীক্ষার হল। সিলিং ফ্যান ঘুরছে। সামনের দেয়ালে ঘড়ি টিকটিক করছে। চারপাশে সবাই মাথা নিচু করে লিখছে। তোমার হাত কাঁপছে, কলম মুঠোয় শক্ত হয়ে আছে, শ্বাস ছোট ছোট হয়ে আসছে।","Large exam hall. Ceiling fans spinning. The wall clock ticks loudly. Everyone around you is writing with heads down. Your hands shake, the pen feels heavy, and your breath is getting shorter.","প্রশ্নপত্র হাতে পেয়েছ। প্রথম প্রশ্নটা পড়লেই মনে হচ্ছে মাথা ফাঁকা। জানতে পারো, কিন্তু শব্দগুলো এখন মিলছে না। পাশের কেউ ইতোমধ্যে পৃষ্ঠা ওল্টাচ্ছে। তোমার বুক ধড়ফড় করছে — এখন কী করবে?","You received the question paper. Reading Q1, your mind goes blank. You know this topic, but the words will not come together. Someone nearby already turns the page. Your heart is racing — what will you do now?","invigilator,classmate",8
SCN_002,ক্লাস প্রেজেন্টেশন,Class Presentation,presentation,medium,"social_anxiety,academic_stress","ক্লাসরুমে প্রায় ৪০ জন সহপাঠী বসে তাকিয়ে আছে। প্রজেক্টরে তোমার প্রথম স্লাইড জ্বলজ্বল করছে। শিক্ষক সামনের বেঞ্চে নোট নিতে প্রস্তুত। ঘরটা একটু গরম লাগছে, তোমার গলা শুকিয়ে আসছে।","Classroom with about 40 classmates watching. Your first slide glows on the projector. The teacher sits in front ready to take notes. The room feels a bit warm and your throat is dry.","তোমার নাম ধরা হয়েছে। সবাই তোমার দিকে তাকিয়ে আছে। মাইক্রোফোনের দিকে হাঁটা দরকার। পা কিছুটা ভারী লাগছে। একটা ছোট পদক্ষেপ নিতে হবে — এখন তুমি কীভাবে শুরু করবে?","Your name is called. Everyone is looking at you. You must walk to the microphone. Your legs feel heavy. You need one small step — how will you begin right now?","teacher,classmates",10
SCN_003,বন্ধুর সাথে মতবিরোধ,Conflict with Friend,conflict,easy,"social_anxiety,relationship_stress","ক্যাম্পাস ক্যাফেতে বেলা তিনটা। চারপাশে মানুষ কথা বলছে, কিন্তু তোমার টেবিলে টেনশন ঘন হয়ে আছে। বন্ধুর কণ্ঠস্বর একটু তীব্র। গ্রুপ প্রজেক্ট নিয়ে দীর্ঘদিনের অভিযোগ এখন খোলামেলা বেরিয়ে আসছে।","Campus cafe at 3 PM. People chat around you, but tension sits heavy at your table. Your friend's voice is sharp. Long-held frustration about the group project is now coming out openly.","বন্ধু রাগে বলে: 'তুই কিছুই করিসনি, সব আমার উপর চাপিয়ে দিছিস।' কয়েকজন পাশ থেকে তাকায়। তোমার মুখে কথা আসছে, আবার থেমেও যাচ্ছে। এই মুহূর্তে তুমি কীভাবে সাড়া দেবে?","Your friend says angrily: 'You did nothing and pushed everything on me.' A few people glance over. Words rise in your mouth, then freeze. How will you respond in this moment?",friend,7
SCN_004,অ্যাসাইনমেন্ট ডেডলাইন ক্রাইসিস,Assignment Deadline Crisis,academic_stress,hard,"academic_stress,deadline_overload","রাত প্রায় দুইটা। হোস্টেল রুমে নীরবতা, শুধু ল্যাপটপের ফ্যানের শব্দ। কাল সকালে সাবমিট করতে হবে। স্ক্রিনে অর্ধেক কাজ, তিনটা ট্যাব খোলা, এবং অনেক ভাঙা নোট। চোখে জ্বালা করছে, ঘুম পাচ্ছে।","Around 2 AM. The hostel room is quiet except for the laptop fan. Due tomorrow morning. Half the assignment sits unfinished, three tabs open, and messy notes everywhere. Your eyes burn and sleep is calling.","মনে হচ্ছে সব একসাথে পড়ে আছে — রিফারেন্স, অ্যানালাইসিস, ফরম্যাটিং। মন বলছে 'আজ আর সম্ভব না'। আবার মন বলছে 'না করলে আরও খারাপ হবে'। এই চাপের মধ্যে তুমি এখন কোন ছোট পদক্ষেপ নেবে?","Everything feels piled up — references, analysis, formatting. One part of you says 'impossible tonight.' Another says 'skipping will make it worse.' Under this pressure, what small step will you take now?","inner_voice,roommate",8
SCN_005,নতুন পরিবেশে একা লাগা,Feeling Alone in New Environment,social,easy,"loneliness,social_anxiety","নতুন সেমিস্টারের প্রথম সপ্তাহ। ক্যাম্পাস লনে সবাই ছোট ছোট গ্রুপে আড্ডা দিচ্ছে। হাসি ও গল্পের শব্দ ভেসে আসছে। তুমি এক কোণে একা বসে আছ, লঞ্চবক্স খোলা, কিন্তু খেতে ভালো লাগছে না।","First week of a new semester. On the campus lawn everyone chats in small groups. Laughter and stories float over. You sit alone in a corner, lunchbox open, but you do not feel like eating.","লাঞ্চ ব্রেকে কাউকে জিজ্ঞেস করতে ইচ্ছে করছে, কিন্তু মনে ভয় চাপছে — যদি কেউ প্রত্যাখ্যান করে? যদি অদ্ভুত লাগে? তোমার বুক হালকা টান অনুভব করছে। এখন তুমি কী করবে?","At lunch you want to ask someone to join, but fear presses in — what if they refuse? What if it feels awkward? Your chest feels tight. What will you do now?",classmate_group,6
SCN_006,রিজাল্টের আগে উদ্বেগ,Result Day Anxiety,exam,medium,"exam_panic,academic_stress","রিজাল্ট আজ প্রকাশ হবে। তুমি ঘরে বা ক্যাম্পাস করিডোরে বারবার ফোন চেক করছ। মেসেজ নোটিফিকেশন এলেই লাফ দিয়ে উঠছ। মনে দুশ্চিন্তা আর কল্পনা ঘুরপাক খাচ্ছে।","Results will be published today. You keep checking your phone at home or in a campus corridor. Every notification makes you jump. Worries and imagined conversations keep looping in your mind.","মনে হচ্ছে বাবা-মা হতাশ হবে যদি নম্বর খারাপ হয়। একইসঙ্গে নিজেও নিজেকে বিচার করছ। ফোন আবার হাতে। এই অপেক্ষার চাপ সামলাতে এখন তুমি কীভাবে নিজেকে স্থির রাখবে?","You fear disappointing your parents if the grades are bad. At the same time you are judging yourself. Phone is in your hand again. How will you stay steadier during this waiting stress?","parent_voice,inner_voice",7
SCN_007,টিচারের সামনে প্রশ্ন করতে ভয়,Afraid to Ask Teacher,social,easy,"social_anxiety,academic_stress","ক্লাস শেষের ঘণ্টা বেজেছে। সহপাঠীরা ব্যাগ গোছাচ্ছে। শিক্ষক দরজার দিকে যাচ্ছেন। আজকের টপিকটার মূল অংশ তুমি বোঝোনি, আর হোমওয়ার্কও সেটার উপর।","The end-of-class bell has rung. Classmates pack their bags. The teacher is walking toward the door. You did not understand the core part of today's topic, and the homework depends on it.","হাত তুলতে পারছ না — মনে হচ্ছে সবাই তাকিয়ে হাসবে। আবার না জিজ্ঞেস করলে বাসায় আরও কষ্ট হবে। শিক্ষক এখনই বেরিয়ে যাবেন। এই কয়েক সেকেন্ডে তুমি কী করবে?","You cannot raise your hand — you imagine everyone staring and laughing. But if you do not ask, homework will be harder at home. The teacher is about to leave. In these few seconds, what will you do?","teacher,classmates",5
SCN_008,গ্রুপ স্টাডিতে চাপ,Group Study Pressure,social,medium,"social_anxiety,academic_stress","লাইব্রেরির গ্রুপ টেবিলে পাঁচজন বসে আছে। সবাই দ্রুত পয়েন্ট আলোচনা করছে। কেউ কেউ আত্মবিশ্বাসে কথা বলছে। তুমি নোট দেখছ, কিন্তু মনে হচ্ছে সবাই তোমার চেয়ে এগিয়ে।","Five classmates sit at a library group table. They discuss points quickly. Some speak with confidence. You look at your notes, but feel everyone is ahead of you.","মনে হচ্ছে তুমি সবচেয়ে কম জানো। প্রশ্ন করতে গেলে 'বোকা' মনে হতে পারে বলে দ্বিধা করছ। গ্রুপ পরের টপিকে চলে যাচ্ছে। এখন তুমি কীভাবে নিজেকে চর্চায় রাখবে?","You feel like you know the least. You hesitate to ask in case you look 'dumb.' The group is already moving to the next topic. How will you stay in the practice right now?",study_group,8
SCN_009,রুমমেটের সাথে টেনশন,Roommate Tension,conflict,medium,"relationship_stress,academic_stress","হোস্টেল রুম। কাল সকালে পরীক্ষা। তোমার টেবিলে বই খোলা। রুমমেট হেডফোন ছাড়াই জোরে গান বাজাচ্ছে এবং হাসছে। ঘরের আলোও চোখে বিঁধছে। মনোযোগ ভাঙছে।","Hostel room. Exam tomorrow morning. Books are open on your desk. Your roommate plays loud music without headphones and keeps laughing. The room light feels harsh. Your focus keeps breaking.","বলতে ইচ্ছে করছে গান কমাও, কিন্তু ঝগড়া হবে ভেবে থামছ। রাগ আর অসহায়ত্ব দুটোই আছে। মাথাও চাপছে। এই রাতে সম্পর্ক ও পড়া — দুটোই বাঁচাতে তুমি কী বলবে বা করবে?","You want to ask them to lower the music, but fear a fight so you stay quiet. Anger and helplessness mix together. Your head also hurts. Tonight you need both studying and the relationship — what will you say or do?",roommate,6
SCN_010,ক্যাম্পাস ইন্টারভিউ,Campus Job Interview,presentation,hard,"social_anxiety,exam_panic","ছোট ইন্টারভিউ রুম। এসি ঠান্ডা। দুজন ইন্টারভিউয়ার সামনে বসে নোট নিচ্ছেন। তোমার সিভির কপি টেবিলে রাখা। দরজার বাইরে পরের প্রার্থী অপেক্ষা করছে।","Small interview room. The AC feels cold. Two interviewers sit across from you taking notes. A copy of your CV lies on the table. The next candidate waits outside the door.","ইন্টারভিউয়ার হাসিমুখে বলেন: 'Tell us about yourself.' প্রথম লাইনটা মুখে আসে না। মাথা ফাঁকা লাগে। সময় টিকটিক করছে। তুমি কীভাবে নিজেকে সংক্ষেপে ও আত্মবিশ্বাসে পরিচয় করাবে?","An interviewer smiles and says: 'Tell us about yourself.' The first line will not come. Your mind feels blank. Time is ticking. How will you introduce yourself briefly and with confidence?",interviewer,10
