session_id,user_id,scenario_id,difficulty_level,user_response,response_time_sec,choice_made,clarity_score,coping_score,avoidance_score,overall_score,feedback_text,source
S1,U2,SCN_004,hard,ok,-36,avoid,0,0,4,1.7,"চিন্তা করবেন না, এমন অনুভব",app_export
S2,U5,SCN_010,hard,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-112,cope,3,5,0,9.3,"Pilot proxy: practiced a coping-forward path.",app_export
S3,U5,SCN_001,medium,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-214,cope,4,7,0,10,"Pilot proxy: practiced a coping-forward path.",app_export
S4,U5,SCN_009,medium,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-325,cope,4,5,0,9.5,"Pilot proxy: practiced a coping-forward path.",app_export
S5,U6,SCN_004,hard,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-384,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S6,U6,SCN_006,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-274,avoid,0,0,5,1.3,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S7,U7,SCN_001,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-207,avoid,0,0,8,1,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S8,U7,SCN_006,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-424,avoid,0,0,5,1.3,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S9,U7,SCN_005,easy,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-191,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S10,U7,SCN_003,easy,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-366,avoid,0,0,5,1.8,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S11,U8,SCN_006,medium,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-316,cope,3,5,0,9.3,"Pilot proxy: practiced a coping-forward path.",app_export
S12,U8,SCN_009,medium,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-346,cope,4,5,0,9.5,"Pilot proxy: practiced a coping-forward path.",app_export
S13,U8,SCN_001,medium,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-427,cope,4,7,0,10,"Pilot proxy: practiced a coping-forward path.",app_export
S14,U8,SCN_008,medium,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-312,cope,3,6,0,8.8,"Pilot proxy: practiced a coping-forward path.",app_export
S15,U9,SCN_009,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-378,avoid,0,0,5,2,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S16,U9,SCN_008,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-448,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S17,U9,SCN_001,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-174,avoid,0,0,8,1,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S18,U10,SCN_003,easy,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-324,avoid,0,0,5,1.8,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S19,U10,SCN_004,hard,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-215,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S20,U10,SCN_010,hard,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-170,avoid,0,0,5,1.3,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S21,U10,SCN_005,easy,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-391,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S22,U11,SCN_005,easy,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-380,cope,1,6,0,8.8,"Pilot proxy: practiced a coping-forward path.",app_export
S23,U11,SCN_009,medium,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-269,cope,4,5,0,9.5,"Pilot proxy: practiced a coping-forward path.",app_export
S24,U12,SCN_002,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-135,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S25,U12,SCN_008,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-175,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S26,U12,SCN_003,easy,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-132,avoid,0,0,5,1.8,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S27,U12,SCN_004,hard,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-413,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S28,U13,SCN_009,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-254,avoid,0,0,3,2,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S29,U13,SCN_003,easy,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-291,avoid,0,0,5,1.8,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S30,U13,SCN_008,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-246,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S31,U13,SCN_004,hard,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-92,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S32,U14,SCN_004,hard,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-165,cope,5,8,0,10,"Pilot proxy: practiced a coping-forward path.",app_export
S33,U14,SCN_006,medium,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-366,cope,3,5,0,9.3,"Pilot proxy: practiced a coping-forward path.",app_export
S34,U14,SCN_002,medium,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-190,cope,3,5,0,9.3,"Pilot proxy: practiced a coping-forward path.",app_export
S35,U14,SCN_009,medium,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-106,cope,4,5,0,9.5,"Pilot proxy: practiced a coping-forward path.",app_export
S36,U15,SCN_009,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-336,avoid,0,0,5,2,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S37,U15,SCN_010,hard,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-343,avoid,0,0,5,1.3,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S38,U15,SCN_004,hard,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-206,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S39,U15,SCN_002,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-437,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S40,U16,SCN_007,easy,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-427,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S41,U16,SCN_005,easy,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-245,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S42,U17,SCN_009,medium,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-112,cope,4,5,0,9.5,"Pilot proxy: practiced a coping-forward path.",app_export
S43,U17,SCN_007,easy,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-467,cope,2,7,0,9.3,"Pilot proxy: practiced a coping-forward path.",app_export
S44,U17,SCN_003,easy,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-111,cope,4,5,0,9.3,"Pilot proxy: practiced a coping-forward path.",app_export
S45,U18,SCN_008,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-313,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S46,U18,SCN_003,easy,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-387,avoid,0,0,5,1.8,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
